"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Vulpia ciliata subsp. ciliata"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Vulpia fasciculata"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Vulpia fontquerana"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Vulpia geniculata"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Vulpia membranacea"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Vulpia muralis"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Vulpia myuros"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Wangenheimia lima"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"NA"
"Polygala microphylla"	"Flores com 3 pétalas,Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Polygala monspeliaca"	"Flores com 3 pétalas,Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Polygala serpyllifolia"	"Flores com 3 pétalas,Flores com 5 pétalas"	"Folhas opostas,Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Polygala vulgaris"	"Flores com 3 pétalas,Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Emex spinosa"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Fallopia convolvulus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Polygonum amphibium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Polygonum arenastrum"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Polygonum aviculare"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"Flores brancas,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Polygonum bellardii"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Polygonum bistorta subsp. bistorta"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"Flores rosa,Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Polygonum equisetiforme"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Polygonum hydropiper"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Polygonum lapathifolium"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Polygonum maritimum"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Polygonum minus"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Polygonum persicaria"	"Flores com 5 pétalas,Flores com 3 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas"	"Flores rosa,Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Polygonum salicifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex acetosa subsp. acetosa"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex acetosella subsp. angiocarpus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex bucephalophorus subsp. hispanicus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex bucephalophorus subsp. gallicus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex bucephalophorus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Rumex conglomeratus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex crispus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex intermedius"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex longifolius"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex obtusifolius"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex papillaris"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex pulcher subsp. woodsii"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex pulcher subsp. pulcher"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex pulcher"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex roseus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex suffruticosus"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Rumex thyrsoides"	"Flores com 6 pétalas,Flores com 3 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Polypodium cambricum subsp. cambricum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Polypodium interjectum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"		"NA"	"NA"
"Polypodium vulgare"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Montia fontana subsp. amporitana"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Montia fontana subsp. chondrosperma"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Montia fontana"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Portulaca oleracea subsp. granulatostellulata"	"Flores com 5 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Portulaca oleracea subsp. oleracea"	"Flores com 5 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Portulaca oleracea"	"Flores com 5 pétalas,Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Groenlandia densa"	"Flores com 4 pétalas,Flores com 2 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Potamogeton crispus"	"Flores com 4 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Potamogeton gramineus"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton lucens"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton natans"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton nodosus var. nodosus"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton nodosus var. typicus"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton nodosus"	"Flores com 4 pétalas"	"Folhas alternas,Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Potamogeton pectinatus"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton perfoliatus"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton polygonifolius"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Potamogeton pusillus"	"Flores com 4 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Potamogeton trichoides"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Anagallis arvensis subsp. arvensis"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores roxas, violetas ou lilases,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anagallis arvensis subsp. parviflora"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores roxas, violetas ou lilases,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anagallis arvensis"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores roxas, violetas ou lilases,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anagallis crassifolia"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Anagallis foemina"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Anagallis monelli"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anagallis tenella"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Asterolinon linum-stellatum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centunculus minimus"	"Flores com 4 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Glaux maritima"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Lysimachia ephemerum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Lysimachia nemorum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Lysimachia vulgaris"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Primula acaulis subsp. acaulis"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Samolus valerandi"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pteris incompleta"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"		"NA"	"NA"
"Cytinus hypocistis subsp. hypocistis"	"Flores com 4 pétalas,Flores com 6 pétalas"	"Planta sem folhas"	"Flores amarelas,Flores vermelhas ou alaranjadas"	"Sem espinhos"		"Fruto carnudo"	"Simetria radial"
"Cytinus hypocistis subsp. macranthus"	"Flores com 4 pétalas"	"Planta sem folhas"	"Flores amarelas,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"Simetria radial"
"Cytinus hypocistis"	"Flores com 4 pétalas,Flores com 6 pétalas"	"Planta sem folhas"	"Flores amarelas,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"Simetria radial"
"Cytinus ruber"	"Flores com 4 pétalas"	"Planta sem folhas"	"Flores brancas,Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"Simetria radial"
"Aconitum napellus subsp. lusitanicum"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Adonis annua"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Adonis microcarpa"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Anemone coronaria"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Anemone nemorosa"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais"	"Flores brancas,Flores rosa,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anemone palmata"	"Flores com mais de 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anemone trifolia subsp. albida"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais"	"Flores brancas,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Aquilegia vulgaris subsp. hispanica"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Aquilegia vulgaris subsp. dichroa"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Aquilegia vulgaris"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Aquilegia vulgaris subsp. vulgaris"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Caltha palustris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Clematis campaniflora"	"Flores com 4 pétalas"	"Folhas opostas"	"Flores brancas,Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Clematis cirrhosa"	"Flores com 4 pétalas,Flores com 6 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Clematis flammula"	"Flores com 4 pétalas,Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Clematis vitalba"	"Flores com 4 pétalas,Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas opostas"	"Flores brancas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Delphinium gracile"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Delphinium halteratum subsp. halteratum"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"		"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Delphinium halteratum subsp. verdunense"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Delphinium halteratum"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Delphinium nanum"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"		"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Delphinium pentagynum"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Delphinium staphisagria"	"Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Helleborus foetidus"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Nigella damascena"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Nigella gallica"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"		"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Nigella papillosa subsp. papillosa"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Nigella papillosa subsp. atlantica"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Nigella papillosa"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão,Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus abnormis"	"Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus baudotii"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus bulbosus subsp. aleae"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus bulbosus subsp. bulbosus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus bulbosus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus bullatus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus bupleuroides"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus ficaria subsp. ficaria"	"Flores com mais de 6 pétalas"	"Folhas opostas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus flammula"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus gramineus"	"Flores com 5 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus gregarius"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus hederaceus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus henriquesii"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus longipes"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus macrophyllus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus muricatus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus nigrescens"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus nodiflorus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus ollissiponensis subsp. ollissiponensis"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus ololeucos"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas opostas,Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus omiophyllus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus ophioglossifolius"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus paludosus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus parviflorus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus peltatus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ranunculus penicillatus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus pseudofluitans"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus repens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus saniculifolius"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Ranunculus sceleratus"	"Flores com 5 pétalas,Flores com 6 pétalas,Flores com mais de 6 pétalas"	"Folhas alternas,Folhas opostas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
